Fever,Cough,Shortness_of_breath,Fatigue,Myalgia,Headache,Anosmia,Sore_throat,Nasal_congestion,Rhinorrhea,Nausea,Vomiting,Diarrhea,Abdominal_pain,Blood_in_stool,Chest_pain,Constipation,Dysphagia,Palpitations,Knee_pain,Low_back_pain,Neck_pain,Paresthesia,Rash,Hemoptysis,Pneumonia,Delayed_onset_muscle_soreness,Back_pain,Xerostomia,Dry_eye_syndrome,Insomnia,Sleep_deprivation,Cyanosis,Somnolence,Heartburn,Tremor,Chronic_pain
"Fever does not necessarily need to be treated, and most people with a fever recover without specific medical attention.",based on the underlying cause,Extra oxygen,,"heat, rest, paracetamol, NSAIDs and muscle relaxants",lifestyle changes,glucocorticoids,Pain medications such as non-steroidal anti-inflammatory drugs (NSAIDs) and paracetamol (acetaminophen),"humidifier, warm showers, drinking fluids, using a neti pot, using a nasal saline spray, and sleeping with one's head elevated",treatment for rhinorrhea is not necessary,rehydration with oral electrolyte solutions,antiemetic,replacing lost fluid and salts,IV fluids,depends largely on the cause of the bleeding,Aspirin,increased intake of water and fiber,"swallowing therapy, dietary changes, feeding tubes, certain medications, and surgery",Radiofrequency ablation,"physical therapy exercises, pain-reducing drugs such as ibuprofen, joint stretching, knee replacement surgery, and weight loss in people who are overweight","remaining active, avoiding activity that worsen the pain, and understanding self-care of the symptoms",depends on the cause,"the immunosuppressant prednisone, intravenous gamma globulin (IVIG), anticonvulsants such as gabapentin or Gabitril and antiviral medication",steroid topical creams (such as hydrocortisone) or non-steroidal treatments,"iced saline, and topical vasoconstrictors such as adrenalin or vasopressin","Antibiotics by mouth, rest, simple analgesics, and fluids",any measure that increases blood flow to the muscle,remain active and return to normal activities,symptomatic,"avoidance of exacerbating factors, tear stimulation and supplementation, increasing tear retention, and eyelid cleansing and treatment of eye inflammation.",Cognitive behavioral therapy,"to implement healthier sleep habits, also known as sleep hygiene",treating the underlying cause,get plenty of rest and get rid of distractions,Antacids such as calcium carbonate,treating the patient's underlying psychological problem,The combined knowledge of various medical professions and allied health professions
fan or air conditioning,dextromethorphan,"active assisted cough techniques, volume augmentation such as breath stacking, education about body position and ventilation patterns and movement strategies to facilitate breathing.",,,Preventive medications,"oral glucocorticoids such as prednisone, followed by long term topical glucocorticoid nasal spray",corticosteroids,a number of over-the-counter decongestants and antihistamines,nose-blowing,intravenous rehydration,"anticholinergics, antihistamines, dopamine antagonists, serotonin antagonists, and cannabinoids",Medications such as loperamide (Imodium) and bismuth subsalicylate,"analgesia, such as non-opioid (ketorolac) and opioid medications (morphine, fentanyl)","vitamins that are important for RBC formation (folate, vitamin B12, and vitamin C)",admission to the hospital,Soluble fiber supplements,based on a thorough evaluation by the multidisciplinary team,stereotactic radioablation,Acupuncture,attempting to return to normal activities as soon as possible within the limits of pain,"medication, body mechanics training, ergonomic reform, and physical therapy","topical numbing creams, such as lidocaine or prilocaine.",,Tranexamic acid,more advanced care,Ibuprofen,non-pharmacological therapy,the use of saliva substitutes and/or saliva stimulants,Purposefully blinking,Medications,cognitive behavioral therapy for Insomnia (CBT-i),to administer methylene blue,,Medicines such as H2 receptor antagonists or proton pump inhibitors,Physical therapy and occupational therapy,non opioid based therapies
aggressive cooling,A trial of antibiotics or inhaled corticosteroids,Pulmonary rehabilitation,,,Abortive therapies for migraines may be oral,steroidal treatment or removal of the polyp,Antibiotics,combining nasal sprays with "nasal breathing exercises" (NBE),saline nasal sprays and vasoconstrictor nasal sprays,Medical care,,Oral rehydration solution,GI cocktail,Diagnostic measures,cognitive behavioral therapy,milk of magnesia or polyethylene glycol,a supplementary nonoral feeding method of nutrition,treatment with beta-blocking medications,a combination of interventions,multidisciplinary treatment programs,Muscle relaxants,Ketamine,,Selective bronchial intubation,hospitalization,continued exercise,medications,Saliva substitutes,cleaning the eyelids morning and night with mild soaps and warm compresses,Non medication based strategies,to increase nightly sleep time,,,Antibiotics,Surgical intervention such as thalamotomy and deep brain stimulation,acetaminophen (paracetamol) or NSAIDs
to keep adequately hydrated,,Fan therapy to the face,,,acetaminophen (paracetamol) or NSAIDs,,a cold drink,,medicinal treatments,antihistamines and anticholinergics such as meclizine and scopolamine,,supplemental zinc and potassium,Butylscopolamine,"colonoscopy and clipping, surgical intervention, or other measures",a proton-pump inhibitor,polyethylene glycol,nonoral feeding,specialist examination and assessment,,Initial management with non–medication based treatments,Exercise plus joint manipulation,high doses of Baclofen,,Laser photocoagulation,be hospitalized,exercising sore muscles,Surgery for back pain,Parasympathomimetic drugs (saliva stimulants) such as pilocarpine,Wearing glasses or directing gaze downward,"attention to sleep hygiene, stimulus control, behavioral interventions, sleep-restriction therapy, paradoxical intention, patient education, and relaxation therapy",,,,,"Thalamotomy, involving the creation of lesions in the brain region called the thalamus",Various other nonopioid medicines
antipyretic ibuprofen,,Systemic immediate release opioids,,,an antiemetic such as metoclopramide (Reglan),,lozenges,,antihistamines,"dopamine antagonists such as metoclopramide, prochlorperazine, and chlorpromazine",,Plain water,"cholecystectomy, appendectomy, and exploratory laparotomy","stool softeners (which work by pulling water into the stool while in the colon), addition of fiber to the diet, and use of osmotic laxatives","manipulation therapy or chiropractic therapy, acupuncture,  or a recommendation for increased exercise",prucalopride and lubiprostone,a combination of treatment procedures,address the cause of irritation to the vagus nerve or the parasympathetic nervous system generally.,,Treatment according to McKenzie method,Motor control using cranio-cervical flexion exercises,antiviral medication,,Bronchial artery embolization (BAE),intensive care unit admission for observation and specific treatment,,Surgery,Salivary stimulants,supplemental lubrication,Behavioral therapy,,,,,The electrical stimulation,opioids
Using both paracetamol and ibuprofen at the same time or alternating between the two,,long-acting/sustained-release opioids,,,an oral triptan,,,,,serotonin antagonists such as ondansetron,,Continued feeding,,Improving a persons gut motility,A combination therapy of nonsteroidal anti-inflammatory drugs and manipulation therapy with at-home exercises,Enemas,"texture modification of foods, thickening fluids and positioning changes during swallowing",Anxiety and stress reduction techniques such as meditation and massage,,heat therapy,Multiple cervical manipulation sessions,,,Surgical option,"heated humidified high-flow therapy delivered through nasal cannulae, non-invasive ventilation",,hemi- or partial- laminectomy or discectomy,Sugar free chewing gum,Application of artificial tears every few hours,Music,,,,,DBS,"tricyclic antidepressants, serotonin-norepinephrine reuptake inhibitors, and anticonvulsants"
,,actively managing psychosocial aspects,,,parenteral (through a needle in the skin) triptans and antiemetics,,,,,The combination of pyridoxine and doxylamine,,Antidiarrheal agents,,topical nitrates or calcium channel blockers and surgical interventions for chronic or complex cases,,physical intervention,,Changing body position (e.g. sitting upright rather than lying down),,Aerobic exercises,Thoracic manipulation,,,,an endotracheal tube,,A mutli-level laminectomy,intraoral devices and integrated mouthcare systems,autologous serum eye drops,EEG biofeedback,,,,,the application of biomechanical loading on tremor movement,"Some atypical antipsychotics, such as olanzapine"
,,non-pharmacological approaches to treating breathlessness may be combined with medication.,,,Sphenopalatine ganglion block,,,,,Dimenhydrinate,,bismuth compounds (Pepto-Bismol),,"pathogen dependent, and generally requires the use of antibiotics",,Regular exercise,,,,directional exercise,Low level laser therapy,,,,30 ml/kg of crystalloid infused intravenously,,A foraminotomy or foraminectomy,the use of pilocarpine,Lubricating tear ointments,Self-help therapy,,,,,the increase of damping or inertia in the upper limb,hormonal medications such as oral contraceptive pills ("the pill")
,,"opiods, benzodiazepines, oxygen, and steriods.",,,"relaxation training, electromyographic feedback and cognitive behavioral therapy may be considered for migraine treatment, along with medications.",,,,,cannabinoids,,Anti-motility agents like loperamide,,removal of the offending agent,,Sacral nerve stimulation,,,,Exercise therapy,cognitive-behavioural therapy,,,,vasopressor medication,,discectomy,amifostine,mild topical steroids or with topical immunosuppressants such as ciclosporin (Restasis),Stimulus control therapy,,,,,upper-limb non-invasive ambulatory robotic exoskeletons,Interventional pain management
,,systematic corticosteriods in palliative care,,,"NSAIDs (ibuprofen, naproxen, aspirin), or acetaminophen",,,,,Ginger,,Diosmectite,,medical treatment,,Colectomy with ileorectal anastomosi,,,,use yoga and tai chi as a form of treatment,Massaging the area,,,,lay on their front for at least 12 hours a day,,Total disc replacement,,"Diquafosol, an agonist of the P2Y2 purinergic receptor",sleep restriction,,,,,exoskeletons,ultrasound
,,,,,amitriptyline,,,,,,,kaopectate,,different treatment for each condition,,,,,,Motor control exercise,Radiofrequency denervation,,,,Antibiotics,,spinal fusion surgery,,Lifitegrast,Bright light therapy,,,,,biomechanical loading,Psychological treatments
,,,,,subcutaneous sumatriptan (injected under the skin) and triptan nasal sprays,,,,,,,Racecadotril an antisecretory medication,,"a proton pump inhibitor, with the addition of an H2 blocker",,,,,,Motor control exercise accompanied by manual therapy,,,,,amoxicillin,,surgery,,Varenicline (Tyrvaya),Paradoxical intention,,,,,,mindfulness-based pain management (MBPM)
,,,,,preventive therapy,,,,,,,Bile acid sequestrants such as cholestyramine,,surgical intervention,,,,,,Peripheral nerve stimulation,,,,,"amoxicillin, doxycycline",,Surgical evacuation of spinal hematoma,,"Topical ciclosporin (topical ciclosporin A, tCSA) 0.05% ophthalmic emulsion",Sleep hygiene,,,,,,psychological interventions
,,,,,verapamil,,,,,,,Zinc supplementation,,,,,,,,Aquatic therapy,,,,,amoxicillin,,,,Restasis,The creation of a positive sleep environment,,,,,,exercise
,,,,,lithium,,,,,,,probiotic lactobacillus,,,,,,,,Aquatic therapy,,,,,β-lactam such as cephazolin plus macrolide such as azithromycin,,,,Punctal plugs,cognitive behavioral therapy for insomnia (CBT-I),,,,,,treatment with opioids
,,,,,a short course of prednisone (10 days),,,,,,,taking digestive enzymes containing lactase when consuming dairy products,,,,,,,,medications,,,,,Antibiotics by mouth and by injection,,,,Heating systems that try to unblock the oil glands in the eye,Hypnotic medications,,,,,,"biological, mind-body, manipulative body, and energy medicine"
,,,,,treating the underlying cause,,,,,,,,,,,,,,,short term use of opioids,,,,,"third- and fourth-generation cephalosporins, carbapenems, fluoroquinolones, aminoglycosides, and vancomycin",,,,tarsorrhaphy,CBT-I,,,,,,Implementing dietary changes
,,,,,antibiotics,,,,,,,,,,,,,,,opioids,,,,,initial antibiotics,,,,,CBT-I,,,,,,"Hypnosis, including self-hypnosis"
,,,,,"surgery, chemotherapy or brain radiation",,,,,,,,\,,,,,,,"antiseizure drugs gabapentin, pregabalin, and topiramate",,,,,antibiotic therapy,,,,,CBT,,,,,,medical marijuana
,,,,,Peripheral neuromodulation,,,,,,,,,,,,,,,Facet joint injections and steroid injections into the discs,,,,,prolonged antibiotics,,,,,Metacognition,,,,,,cannabinoids
,,,,,,,,,,,,,,,,,,,,Epidural corticosteroid injections,,,,,The addition of corticosteroids to standard antibiotic treatment,,,,,the use of computer based CBT,,,,,,Tai Chi
,,,,,,,,,,,,,,,,,,,,Discectomy,,,,,adding corticosteroids to the standard PCP pneumonia treatment,,,,,sleeping tablets and other sedatives,,,,,,Acupuncture
,,,,,,,,,,,,,,,,,,,,spinal fusion,,,,,Neuraminidase inhibitors,,,,,over-the-counter antihistamines such as diphenhydramine or doxylamine,,,,,,Transcranial magnetic stimulation
,,,,,,,,,,,,,,,,,,,,Chiropractic care or spinal manipulation therapy (SMT),,,,,The use of antibiotics,,,,,Diphenhydramine and doxylamine,,,,,,Spa therapy
,,,,,,,,,,,,,,,,,,,,acute low back pain massage therapy,,,,,treated conservatively with antibiotics,,,,,Antihistamine,,,,,,St John's Wort or nutmeg
,,,,,,,,,,,,,,,,,,,,"Capsicum, in the form of either a gel or a plaster cast",,,,,"clindamycin, a combination of a beta-lactam antibiotic and metronidazole, or an aminoglycoside",,,,,melatonin,,,,,,Myofascial release
